user_role,phone,land_size,verified,specialization,location,user_roles,organization_name,certification,id,created_date,updated_date,created_by_id,created_by,is_sample
"supplier","5788","","false","Maize","Kyotera ","[""supplier"",""processor""]","Tes","[""Halal""]","6a0664e1c10f04d7acf90bc5","2026-05-15T00:12:17.388000","2026-05-15T00:13:09.699000","6a066366a473c0de55263bf6","mariamlsn4il@gmail.com","false"
"farmer","+256 772 234 001","5","true","Robusta Coffee, Organic Farming","Masaka District, Central Uganda","[""farmer""]","Ssemakula Coffee Farm","[""Organic"",""RainForest Alliance""]","6a03b3977750f5459e8606a3","2026-05-12T23:11:19.724000","2026-05-15T00:02:28.623000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"farmer","+256 783 456 112","12","true","Maize, Groundnuts, Sesame","Gulu District, Northern Uganda","","Ochen Maize Enterprise","[]","6a03b3977750f5459e8606a4","2026-05-12T23:11:19.724000","2026-05-12T23:11:19.724000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"farmer","+256 701 789 334","25","true","Ankole Cattle, Dairy Goats","Mbarara District, Western Uganda","","Byarugaba Livestock Farm","[""Uganda Dairy Development Authority""]","6a03b3977750f5459e8606a5","2026-05-12T23:11:19.724000","2026-05-12T23:11:19.724000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"buyer","+256 414 670 200","","true","Fresh milk collection and UHT processing","Mbarara / Kampala","","Pearl Dairy Farms Ltd","[""ISO 22000"",""UNBS""]","6a03b3977750f5459e8606a6","2026-05-12T23:11:19.724000","2026-05-12T23:11:19.724000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"supplier","+256 414 286 960","","true","Certified maize, bean, sorghum, and vegetable seeds","Kampala Industrial Area","","NASECO Seeds Uganda","[""ISTA Certified""]","6a03b3977750f5459e8606a7","2026-05-12T23:11:19.724000","2026-05-12T23:11:19.724000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"aggregator","+256 785 001 234","0.5","false","Maize, Sorghum, Beans — aggregation and storage","Gulu District","","Northern Uganda Grain Cooperative","[]","6a03b3977750f5459e8606a8","2026-05-12T23:11:19.724000","2026-05-12T23:11:19.724000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"service_provider","+256 774 500 123","","true","Tractor hire, land preparation, threshing services","Gulu, Lira, Kitgum","","Agri-Mechanization Services Uganda","[""UIRI Certified""]","6a03b3977750f5459e8606a9","2026-05-12T23:11:19.724000","2026-05-12T23:11:19.724000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"processor","+256 414 321 987","","true","Cassava flour (HQCF), maize flour, animal feed milling","Lira District","","Ugabread Millers Ltd","[""UNBS"",""ISO 9001""]","6a03b3977750f5459e8606aa","2026-05-12T23:11:19.724000","2026-05-12T23:11:19.724000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"service_provider","+256-414-342922","","true","Soil Testing, Lab Services","Kampala","","Chemiphar Uganda","[""ISO Certified""]","69291d7c70c03236c513c7f5","2025-11-28T03:56:44.011000","2025-11-28T03:56:44.011000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"consumer","+256-414-789012","","true","Hospitality, Food Service","Kampala","","Kampala Hotels Association","[]","69291d7c70c03236c513c7f7","2025-11-28T03:56:44.011000","2025-11-28T03:56:44.011000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"processor","+256-772-100011","","true","Dairy Products","Mbarara District","","Nyange Dairy","[""UNBS""]","69291d7c70c03236c513c7f0","2025-11-28T03:56:44.011000","2025-11-28T03:56:44.011000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"aggregator","+256-772-100015","","true","Maize, Sorghum","Soroti District","","Soroti Grain Merchants","[]","69291d7c70c03236c513c7ef","2025-11-28T03:56:44.011000","2025-11-28T03:56:44.011000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"service_provider","+256-772-100014","","true","Irrigation, Mechanization","Kampala","","AgroTech Solutions Uganda","[]","69291d7c70c03236c513c7f4","2025-11-28T03:56:44.011000","2025-11-28T03:56:44.011000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"processor","+256-772-200010","","true","Rice Milling","Kampala","","Tilda Uganda","[""UNBS"",""ISO""]","69291d7c70c03236c513c7f1","2025-11-28T03:56:44.011000","2025-11-28T03:56:44.011000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"retailer","+256-414-678901","","true","Groceries, Fresh Produce","Kampala","","Carrefour Uganda","[]","69291d7c70c03236c513c7f3","2025-11-28T03:56:44.011000","2025-11-28T03:56:44.011000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"landowner","+256-414-123456","500","true","Agricultural Land Leasing","Central Uganda","","Buganda Land Board","[]","69291d7c70c03236c513c7f6","2025-11-28T03:56:44.011000","2025-11-28T03:56:44.011000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"retailer","+256-414-567890","","true","Fresh Produce","Kampala","","Capital Shoppers","[]","69291d7c70c03236c513c7f2","2025-11-28T03:56:44.011000","2025-11-28T03:56:44.011000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
